X	Y
0015.6046856840	-411.2038700605
0019.4625151255	-243.9612976419
0000.0871160988	-112.1183548344
0023.8998997733	-181.4333117981
0019.8788542911	-214.6554385377
0016.5210849805	-410.1614656648
0012.1926248349	-362.3078106392
0021.1705925345	-285.4478729429
-003.5602834071	-050.9415770167
0017.5811239017	-205.5464885499
0023.1697314864	-286.9558001347
0015.3799111923	-132.4906037417
0008.0569109295	-167.1433733699
0024.3701428046	-299.7397740132
0031.6834636246	-424.9557770835
0019.2955863530	-188.2936815273
0017.5782219134	-148.3691870501
0008.4136554277	-243.7604879103
0018.0950653132	-177.6769097324
0017.3679600286	-158.5977620191
0010.5670258842	-010.2330937480
0010.4250171181	-342.5602854997
0007.8321414787	-167.4168880683
0009.8098258550	-267.1635784869
0019.9079513879	-221.1096170083
0023.4856375231	-191.2540468673
0020.1596838120	-226.8185976934
0022.8523002042	-165.5744645992
0004.4388430523	-134.3033454831
0026.1917515036	-358.4181504371
0006.8094772691	-187.6482135068
0024.1775540406	-320.4575937864
0014.8356557432	-087.8280072939
0008.0110877801	-284.8508184668
0004.5978909561	-134.3270571247
0010.6633186700	-334.1592654733
0013.8365191870	-074.0400877264
0007.9153117904	-190.7963032885
0002.8738369536	-098.3166776655
0007.7150789441	-167.4761589095
0026.3480068392	-262.3108493744
0024.7391695760	-308.4069991894
0011.2564659220	-349.8986633246
0016.6749735526	-115.9327947075
0003.7451591086	-193.5410134149
0003.9251997840	-332.7568150234
0009.0375666493	-371.6114374178
-000.9673010754	-023.8723000788
0010.2963959156	-272.8461216570
0021.1976558724	-285.4764831864
0010.0909642586	-318.8466447360
-002.1308223685	-016.5568421315
0019.3832434667	-207.7718977139
0014.7543101556	-103.3600524920
0017.3604759999	-140.9671134043
0017.7682649609	-163.7881645244
0020.2399445044	-226.7872689675
0002.1022448482	-073.9792425735
0019.9573379999	-254.2452639014
0019.1622872486	-085.0077949589
0003.5815695743	-193.7022518636
0005.9649894092	-173.5223883946
0015.2452790142	-409.5682061289
0006.9729330086	-210.5348141481
0001.5087166715	-066.6430690982
0024.6992823367	-328.5584282793
0012.8321067486	-063.1375810110
0003.3362947932	-283.6611614093
0008.0880450935	-284.6552706318
0004.3120680904	-111.8423046826
0004.3445903313	-111.9064565073
0002.6649235679	-121.8679370642
0008.5168597955	-292.6170601702
0016.9444183793	-418.9074382729
0009.6434571585	-313.0621383278
0027.3298551344	-417.2131940204
0002.6834754228	0007.0155511966
0004.4034491745	-112.5907689895
0005.7067722551	-227.1003089327
0018.6205657180	-172.8890056899
0009.5347753436	-266.9118429889
0015.9635583561	-137.2145596986
0009.1616854316	-371.8854904773
0003.7567782677	-193.1800359527
0006.1018102929	-173.1319642492
0000.2335160139	-112.6462457102
0026.3589635013	-262.1106245720
0027.3635504871	-412.2188216570
0018.0597105466	-163.4711497038
0015.4077306077	-399.8997432503
0011.9004869906	-041.8834386503
0021.7249095513	-104.5522620282
0011.8538443940	-033.1800929884
0018.7450067477	-173.4624095009
0029.2643613051	-418.9508785413
0013.4383264565	-058.2257210240
0017.2196862244	-158.9094157049
-000.1212076082	-035.3277300212
0001.4585079470	-066.6883041530
-001.7510467907	-158.6373521172
0015.8204690202	-137.3249396087
0013.2786841228	-355.3550757539
0020.1580957118	-254.1161792468
0006.8960857705	-187.7177672232
0006.9464836477	-157.9741500808
0017.4703993696	-140.8207550071
0020.3350619671	-226.8092742748
0010.7769596636	-334.0264926738
0019.4437993616	-188.8665009850
0004.5066558174	-339.3344813153
0008.4193630115	-277.1722680325
0009.6802942374	-267.1104415893
0011.0249720098	-300.7428007570
-000.3454924747	-029.5007813913
0020.2159752481	-263.3119288100
0026.2804083552	-360.6154267075
-001.8316002014	-021.4311893917
0010.1976810871	-014.6998530512
0012.4251640975	-384.6326012121
0015.9749994188	-137.3095635959
0011.8859501781	-068.6737568221
-002.9653045380	-046.2275066242
0010.2592111742	-014.5341579117
0002.1177625142	-073.7023856511
0021.2084950627	-285.3141498752
0005.0000231490	-140.9661623661
0005.6825136917	-227.0901193596
0001.2276669097	-058.1413681111
0024.9334854927	-277.5002338348
0007.8984417153	-167.4105262435
0013.2732398379	-355.1537978728
0005.4647747811	-218.7194604333
0013.5286642677	-058.3074630217
0014.3197258735	-111.7309737576
0019.8892860163	-221.2554713374
0006.8858530558	-188.1609087492
0023.4824288660	-190.9347446983
0007.0910398701	-263.1928705088
0012.1203526347	-362.5798511206
0011.2055969552	-349.8744614523
0027.6430454885	-398.2311004711
0020.1504310746	-254.4639506929
0018.1585652664	-178.2028740335
0012.7931441608	-063.4797844513
0008.5623975869	-277.3688497118
0002.0486643623	-002.6753369987
0026.9599333581	-265.3493062801
0013.2135939531	-093.4118454854
0017.3208312673	-205.8930338563
0009.1796867606	-371.8183374959
0006.0244566676	-136.1077323378
-000.5730999257	-029.3799512685
0026.5288589827	-403.3765984723
0023.5613676151	-191.4001047711
0006.8993038264	-157.9896185501
0023.1892259688	-291.6131646763
0005.9291580578	-327.1540227897
0008.6204235884	-000.8279932607
0020.1396913442	-254.4165267909
0016.8488965268	-116.4448037812
0026.4064806008	-261.9502247593
0010.2745656767	-014.5883332647
0008.9552313858	-248.6648161252
0008.8735871561	-248.7052094715
0001.2330527968	-058.2747610209
-002.0646546790	-016.5408423403
0015.4987599494	-132.3345414539
-000.1222161703	-035.6679494612
0000.2524977773	-112.3864595828
0022.6478658065	-165.9879128350
0009.9459813031	-418.2109998578
0004.6240857865	-134.5040790158
0008.3387155209	-292.3771082010
-002.8554689637	-046.4515930745
0026.8377285165	-389.1425405421
0013.8707392338	-074.1362602928
0017.3220050572	-158.5746225870
0003.7579744391	-193.5083134170
0011.9348916676	-068.7817897260
0026.9481582697	-265.9100288909
0001.0701926000	-058.0407135849
0006.7938621548	-158.6041887561
0004.7575711469	-346.2183684776
0020.4376436049	-226.8437485319
0023.5056377474	-191.3037915022
0010.2063738573	-273.0441896007
0013.4394547317	-355.2957170184
0009.1788645284	-306.0226125535
-002.2453947979	-016.4570902159
0024.8804921827	-277.3714171330
0004.0915539585	-336.3756955215
0026.7079939190	-403.0838453854
0013.2353502517	-355.0961884470
0013.4571990260	-355.1697349486
0014.5988209659	-087.4637336650
0026.7494251826	-367.7505034805
0023.4458243357	-338.5199775332
0021.6691749103	-104.3939728039
0009.1404023074	-371.7386883295
0008.5895593859	-406.0773299843
0010.9543919537	-300.0643419239
0001.5451632299	-066.5574646559
0013.4799669286	-355.2696226791
0009.6613972703	-267.1650841542
0011.1676848676	-349.5480640288
0026.3612094378	-358.6873265716
0021.8877378817	-104.9172329687
0023.5971868426	-181.0988999484
0017.8230429581	-163.9928837891
-006.0140309149	-079.0671503499
0008.1392085751	-284.7065082799
0017.9826346672	-177.7246878717
0012.1362548656	-362.1419067936
0024.6629358085	-328.4899832808
0019.9757581335	-214.8051904347
0006.9979706528	-158.0097858844
0014.6712971121	-087.5115331284
0013.4821842873	-355.1819475286
0019.2847839296	-232.9040561834
0008.4839812111	-258.3884470131
0026.3505634117	-262.0669881626
0019.2876915343	-184.5749034885
0006.8986221673	-210.4562958564
0015.8587184498	-137.3288201559
0005.9387713347	-172.8739556619
0007.3953623501	-395.3388723548
0014.8359380944	-103.0720907983
0008.4360212988	-408.5703979595
0027.5633354666	-398.6129211230
0012.7504790330	-063.3905076738
0027.5669515695	-398.5535963679
0028.9932988206	-428.0393531207
0000.1184988956	-035.4790779377
0001.4920484047	-066.6111215948
0008.3487883040	-235.9572922733
0004.8839820504	-141.0141036552
0026.7874995022	-367.8482439483
0020.0526906859	-214.7100556389
0019.4472847968	-243.7890991022
0027.5848440322	-398.2827718365
0021.1360370376	-285.2589354181
0022.7319171513	-165.6105922549
0013.7264429957	-370.0400554624
0006.9154946811	-210.4758538796
0011.2043976204	-026.1552337266
