X	Y
0004.6125592948	-129.9869659719
0015.3318342456	-127.3220031932
0007.1250433173	-210.3457374407
0022.7586543551	-316.0104180036
0020.0742768251	-254.3265210517
-001.3876147626	-124.7676787151
0007.7361690410	-179.8565364031
0010.8151749729	-021.3490760038
0026.9767152437	-265.6356535324
0008.8872846108	-248.6285393480
0000.1299361698	-112.6728583882
0015.4887788000	-127.4131551977
0010.5176617943	-010.4093622961
0017.5904701592	-205.4904510490
0010.8440529855	-021.3351152956
-005.8646288360	-078.8990986661
-001.1443978001	-125.0318483592
0024.6871552023	-328.4412299270
0020.0025977757	-221.2813829460
0021.0085001723	-247.0111590515
0011.6990438079	-033.0529002339
0002.6523229429	-121.8374151430
0020.2507698881	-226.9179743665
0027.5487661307	-390.3491911839
-002.2855096372	-016.4307820096
0007.8356997164	-166.7071401710
0001.4306014026	-066.4278181088
0004.5349488401	-338.9813162601
0009.7672992459	-313.3209855774
0017.2957414641	-158.5450043138
-002.7916970968	-046.3605201902
0010.8642839303	-334.2055738969
0026.5670918157	-389.0236676336
0011.1653966474	-025.9874573360
0007.2382962695	-263.0551186820
0008.4695716019	-258.3572433156
0017.4108182956	-159.1385315295
0013.3524759363	-355.2052888075
0019.0143284937	-084.8304640300
0017.9546080604	-164.0882335330
0008.5100769776	-243.7585285976
0022.1420264379	-289.3490847206
0019.2612251619	-188.6260723369
0007.8625593780	-179.4808091795
-003.5708460520	-053.4439625093
0011.8340995976	-068.7724238250
0017.9885455137	-164.0745822609
-001.1667971573	-125.1701050366
0024.7281923024	-308.3284125110
-001.7605669772	-021.3537855093
0026.3019984571	-360.6638437428
0005.8611794093	-136.1666283534
0004.3589257825	-112.5978841807
0019.1334574307	-185.0084596765
-003.5250505260	-051.0023905820
0021.2208811851	-285.3555401664
0008.2272835579	-236.0982877941
0025.3141387610	-348.8674280278
0025.2572774357	-369.1384829514
0011.0228193392	-300.1303849059
0025.1494139467	-369.0010251632
0011.2013088362	-349.9489208259
0011.2864212478	-038.3913846245
0007.9433073980	-333.6523817529
-001.7832620604	-021.0654389201
0009.6334605248	-313.4251380153
0013.3755658365	-058.2119097099
0015.7561559937	-137.2671962523
0008.5809399211	-406.0138327878
0022.7094894315	-166.0438729556
0012.5301834098	-384.5855154782
0008.4078927038	-292.7991722378
0002.5878238361	-122.1860964110
0006.5256622690	-205.4116515510
0009.7703049226	-323.9119350805
0007.8629388537	-190.8862803654
0007.1323988913	-263.1234060108
0010.4568789237	-272.7990304555
0001.4236713303	-055.1880515414
0023.3819043344	-291.9741697472
0013.8551125796	-370.1826895305
0019.5592151610	-243.8441483557
0023.4633262308	-191.1379486243
0009.2799167817	-306.3216015904
0006.1493068828	-327.2626974402
0024.6076341212	-344.2094507436
0010.6574383958	-334.0250863284
0019.5560737711	-207.9618678386
0001.3455005614	-058.1192170043
-000.8108547496	-023.6565897626
0006.1444329596	-327.2361067303
0026.3176759737	-262.2298489657
0007.8537540752	-231.2913329971
-000.0278367099	-035.4042800870
0013.5567629038	-058.0175078741
0009.2935675078	-306.1391212034
0008.2388640969	-284.5864942013
0026.6527148112	-367.6177319592
0005.4783878114	-218.7730054048
0016.0945100913	-078.3397487540
0026.2389593033	-206.9331365582
0015.3923665957	-399.9100503238
0002.9667922663	-098.3353647909
-004.9818424434	-089.8568393107
0024.7295895957	-308.3896024722
0020.0308432507	-221.2282712754
-000.8305812227	-023.8145704970
0009.1890128656	-306.0547402404
0003.1035184385	-098.4199293310
0006.1889037065	-327.1809336293
0021.7193154335	-104.6957421346
0002.5228351838	-122.1363179971
-001.0083031797	-023.5418256688
0005.4689926205	-218.7410144241
0019.6245950434	-067.7459148763
0004.9685320767	-140.9257730663
0007.0322657791	-158.3448507658
0023.2663059386	-291.8790207601
0016.2498895662	-120.8452783933
-005.9006104945	-079.0298149151
0004.4459713150	-343.2930087681
0007.9884063456	-333.5693373435
0012.3568938766	-362.3664237411
0010.0600566110	-318.8242566584
0015.3300186044	-399.9874250178
0020.5423597745	-238.3442896720
0013.6786437227	-073.9344319301
0011.7245837847	-041.6638578920
0004.7735280853	-346.1515921839
-000.9320417781	-023.8179513322
0006.9450630257	-210.1975231677
0003.7385906887	-193.1435547544
0007.0780841388	-210.5499188286
0013.2903856485	-355.1726308724
0026.0301443741	-356.0428701625
0001.6818956514	-066.6533008674
0026.4588973966	-365.4187415330
0009.1473890513	-306.0214553821
0009.7214859927	-323.8907327038
0010.3344800630	-319.1932616849
