rosbagTimestamp,data,\,0.15,0,0,6,5,0,0,0,6,0,03*27b281e9\r\n,,,,,,,,,,,,,,,
1.56701505982963E+018,#BESTXYZA,COM1,0,65.5,FINESTEERING,2068,323878,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9219,-4755075.9465,4232285.3224,1.5505,3.5998,4.106,SOL_COMPUTED,DOPPLER_VELOCITY,0.043,0.0021,-0.0606,0.1853,0.4303,0.4908,\,\
1.56701506082307E+018,#BESTXYZA,COM1,0,65.5,FINESTEERING,2068,323879,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9207,-4755075.9387,4232285.2951,1.5507,3.601,4.1054,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0112,-0.0552,0.0242,0.1853,0.4304,0.4907,\,\
1.56701506182102E+018,#BESTXYZA,COM1,0,65.5,FINESTEERING,2068,323880,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9451,-4755075.9082,4232285.2345,1.5506,3.6013,4.1042,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0111,-0.0508,0.0383,0.1853,0.4304,0.4905,\,\
1.56701506282134E+018,#BESTXYZA,COM1,0,64,FINESTEERING,2068,323881,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.956,-4755075.8853,4232285.2356,1.5506,3.6018,4.103,SOL_COMPUTED,DOPPLER_VELOCITY,0.0099,-0.0357,-0.0074,0.1853,0.4305,0.4904,\,\
1.56701506382139E+018,#BESTXYZA,COM1,0,63.5,FINESTEERING,2068,323882,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9468,-4755075.9172,4232285.253,1.5509,3.6029,4.1027,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0411,-0.1078,0.0642,0.1854,0.4306,0.4904,\,\
1.56701506482017E+018,#BESTXYZA,COM1,0,63.5,FINESTEERING,2068,323883,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9579,-4755075.9236,4232285.2299,1.5507,3.6032,4.1012,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0221,-0.0403,-0.0731,0.1853,0.4307,0.4902,\,\
1.56701506582005E+018,#BESTXYZA,COM1,0,65,FINESTEERING,2068,323884,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9584,-4755075.9358,4232285.2013,1.5508,3.604,4.1004,SOL_COMPUTED,DOPPLER_VELOCITY,0.0343,0.0509,-0.0649,0.1854,0.4308,0.4901,\,\
1.56701506681955E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323885,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9597,-4755075.9398,4232285.1564,1.5506,3.6043,4.099,SOL_COMPUTED,DOPPLER_VELOCITY,0.002,0.0001,-0.0479,0.1853,0.4308,0.4899,\,\
1.56701506782018E+018,#BESTXYZA,COM1,0,66.5,FINESTEERING,2068,323886,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9531,-4755075.9504,4232285.1601,1.5506,3.6049,4.0979,SOL_COMPUTED,DOPPLER_VELOCITY,0.0436,0.0102,-0.0185,0.1853,0.4309,0.4898,\,\
1.56701506882027E+018,#BESTXYZA,COM1,0,64.5,FINESTEERING,2068,323887,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9673,-4755075.9186,4232285.1095,1.5506,3.6055,4.0967,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0263,-0.0252,0.0317,0.1853,0.4309,0.4896,\,\
1.56701506982014E+018,#BESTXYZA,COM1,0,60.5,FINESTEERING,2068,323888,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9639,-4755075.9228,4232285.1039,1.5507,3.6062,4.0959,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0284,-0.0378,-0.0555,0.1853,0.431,0.4896,\,\
1.56701507081887E+018,#BESTXYZA,COM1,0,60.5,FINESTEERING,2068,323889,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9596,-4755075.9238,4232285.1242,1.5505,3.6067,4.0946,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0307,-0.0746,0.1257,0.1853,0.4311,0.4894,\,\
1.56701507181902E+018,#BESTXYZA,COM1,0,64,FINESTEERING,2068,323890,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9559,-4755075.9327,4232285.1243,1.5508,3.6076,4.0941,SOL_COMPUTED,DOPPLER_VELOCITY,-0.0129,0.0218,-0.0282,0.1854,0.4312,0.4893,\,\
1.56701507281912E+018,#BESTXYZA,COM1,0,63,FINESTEERING,2068,323891,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9568,-4755075.9103,4232285.1476,1.5509,3.6083,4.0933,SOL_COMPUTED,DOPPLER_VELOCITY,0.0041,0.0265,0.0474,0.1854,0.4313,0.4892,\,\
1.56701507381822E+018,#BESTXYZA,COM1,0,63,FINESTEERING,2068,323892,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9621,-4755075.9135,4232285.1477,1.5508,3.6089,4.092,SOL_COMPUTED,DOPPLER_VELOCITY,0.0316,-0.016,-0.097,0.1854,0.4313,0.4891,\,\
1.56701507481918E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323893,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.968,-4755075.9161,4232285.1477,1.5508,3.6095,4.0911,SOL_COMPUTED,DOPPLER_VELOCITY,0.0619,-0.0286,-0.1228,0.1854,0.4314,0.489,\,\
1.56701507582601E+018,#BESTXYZA,COM1,0,66,FINESTEERING,2068,323894,10000,d821,30031,SOL_COMPUTED,SINGLE,197041.9562,-4755075.8919,4232285.1267,1.5509,3.6101,4.0902,SOL_COMPUTED,DOPPLER_VELOCITY,0.0001,-0.0206,0.0096,0.1854,0.4315,0.4889,\,\
