rosbagTimestamp,data
1543950053030638486,"""$GPRMC,190053.00,A,4150.1049573,N,08737.5053121,W,8.968,179.5,041218,0.0,E,A*25\r\"
1543950054017152742,"""$GPRMC,190054.00,A,4150.1030683,N,08737.5043118,W,8.910,178.4,041218,0.0,E,A*24\r\"
1543950055033180390,"""$GPRMC,190055.00,A,4150.0986781,N,08737.5055828,W,8.922,179.8,041218,0.0,E,A*22\r\"
1543950056034104926,"""$GPRMC,190056.00,A,4150.0963037,N,08737.5051572,W,8.464,180.7,041218,0.0,E,A*20\r\"
1543950057029361363,"""$GPRMC,190057.00,A,4150.0943304,N,08737.5047769,W,7.760,179.2,041218,0.0,E,A*24\r\"
1543950058029233553,"""$GPRMC,190058.00,A,4150.0923935,N,08737.5047626,W,6.192,176.0,041218,0.0,E,A*28\r\"
1543950059033305662,"""$GPRMC,190059.00,A,4150.0905844,N,08737.5049884,W,4.957,175.6,041218,0.0,E,A*24\r\"
1543950060025371301,"""$GPRMC,190100.00,A,4150.0893708,N,08737.5049570,W,4.861,177.2,041218,0.0,E,A*24\r\"
1543950061033870655,"""$GPRMC,190101.00,A,4150.0877151,N,08737.5050971,W,4.909,176.9,041218,0.0,E,A*25\r\"
1543950062037858710,"""$GPRMC,190102.00,A,4150.0865268,N,08737.5049227,W,5.360,183.3,041218,0.0,E,A*28\r\"
1543950063017059423,"""$GPRMC,190103.00,A,4150.0860857,N,08737.5055905,W,5.506,198.7,041218,0.0,E,A*24\r\"
1543950064017209902,"""$GPRMC,190104.00,A,4150.0848183,N,08737.5060454,W,5.565,222.3,041218,0.0,E,A*25\r\"
1543950065017901189,"""$GPRMC,190105.00,A,4150.0838251,N,08737.5079053,W,6.572,244.6,041218,0.0,E,A*24\r\"
1543950066021890319,"""$GPRMC,190106.00,A,4150.0827075,N,08737.5102717,W,7.473,258.1,041218,0.0,E,A*2C\r\"
1543950067029790197,"""$GPRMC,190107.00,A,4150.0822044,N,08737.5133460,W,8.416,263.7,041218,0.0,E,A*29\r\"
1543950068033235894,"""$GPRMC,190108.00,A,4150.0819214,N,08737.5164576,W,9.346,263.8,041218,0.0,E,A*21\r\"
1543950069026805760,"""$GPRMC,190109.00,A,4150.0837806,N,08737.5196607,W,9.863,267.4,041218,0.0,E,A*29\r\"
1543950070038421866,"""$GPRMC,190110.00,A,4150.0821023,N,08737.5237447,W,9.999,267.9,041218,0.0,E,A*2E\r\"
1543950071036251283,"""$GPRMC,190111.00,A,4150.0813864,N,08737.5280469,W,10.189,270.7,041218,0.0,E,A*1C\r\"
1543950072038635044,"""$GPRMC,190112.00,A,4150.0814299,N,08737.5316878,W,9.816,269.2,041218,0.0,E,A*28\r\"
1543950073020965638,"""$GPRMC,190113.00,A,4150.0856347,N,08737.5339428,W,9.440,273.3,041218,0.0,E,A*2C\r\"
1543950074026899111,"""$GPRMC,190114.00,A,4150.0856246,N,08737.5374724,W,9.523,267.1,041218,0.0,E,A*2E\r\"
1543950075022240329,"""$GPRMC,190115.00,A,4150.0827124,N,08737.5415426,W,9.114,267.7,041218,0.0,E,A*29\r\"
1543950076029499378,"""$GPRMC,190116.00,A,4150.0820957,N,08737.5450629,W,8.750,269.5,041218,0.0,E,A*26\r\"
1543950077027783031,"""$GPRMC,190117.00,A,4150.0817656,N,08737.5484399,W,8.411,270.5,041218,0.0,E,A*24\r\"
1543950078007520435,"""$GPRMC,190118.00,A,4150.0834937,N,08737.5513583,W,9.836,290.2,041218,0.0,E,A*21\r\"
1543950079018921318,"""$GPRMC,190119.00,A,4150.0828768,N,08737.5544179,W,8.832,264.6,041218,0.0,E,A*20\r\"
1543950080006762053,"""$GPRMC,190120.00,V,,,,,,,041218,0.0,E,N*13\r\n"""
1543950081000934731,"""$GPRMC,190121.00,V,4150.0820934,N,08737.5606591,W,,,041218,0.0,E,N*3C\r\n"""
1543950082001669080,"""$GPRMC,190122.00,A,4150.0837015,N,08737.5618650,W,7.556,282.8,041218,0.0,E,A*2B\r\"
1543950083001745429,"""$GPRMC,190123.00,V,4150.0890191,N,08737.5627205,W,,,041218,0.0,E,N*3B\r\n"""
1543950084009783115,"""$GPRMC,190124.00,V,4150.0895089,N,08737.5651874,W,,,041218,0.0,E,N*3C\r\n"""
1543950085017074510,"""$GPRMC,190125.00,A,4150.0831823,N,08737.5710279,W,6.859,274.1,041218,0.0,E,A*22\r\"
1543950086025724866,"""$GPRMC,190126.00,A,4150.0824933,N,08737.5739115,W,6.372,273.1,041218,0.0,E,A*22\r\"
1543950087029770423,"""$GPRMC,190127.00,A,4150.0827092,N,08737.5763101,W,4.996,271.7,041218,0.0,E,A*2E\r\"
1543950088024692169,"""$GPRMC,190128.00,A,4150.0827307,N,08737.5779029,W,3.080,271.3,041218,0.0,E,A*23\r\"
1543950089028661758,"""$GPRMC,190129.00,A,4150.0827291,N,08737.5785271,W,1.586,258.1,041218,0.0,E,A*28\r\"
1543950090037514225,"""$GPRMC,190130.00,A,4150.0827642,N,08737.5788778,W,0.389,270.2,041218,0.0,E,A*2A\r\"
1543950091036954424,"""$GPRMC,190131.00,A,4150.0827029,N,08737.5787513,W,0.364,264.6,041218,0.0,E,A*22\r\"
1543950092036668819,"""$GPRMC,190132.00,A,4150.0827154,N,08737.5787104,W,0.116,266.9,041218,0.0,E,A*22\r\"
1543950093044520740,"""$GPRMC,190133.00,A,4150.0826145,N,08737.5789365,W,0.041,101.2,041218,0.0,E,A*23\r\"
1543950094042042416,"""$GPRMC,190134.00,A,4150.0829039,N,08737.5791042,W,0.025,130.7,041218,0.0,E,A*2B\r\"
1543950095041993407,"""$GPRMC,190135.00,A,4150.0828313,N,08737.5791543,W,0.011,339.6,041218,0.0,E,A*29\r\"
1543950096044729675,"""$GPRMC,190136.00,A,4150.0826831,N,08737.5790650,W,0.026,246.1,041218,0.0,E,A*25\r\"
1543950097048769184,"""$GPRMC,190137.00,A,4150.0826148,N,08737.5791221,W,0.062,328.6,041218,0.0,E,A*2E\r\"
1543950098049003716,"""$GPRMC,190138.00,A,4150.0824220,N,08737.5790613,W,0.073,138.4,041218,0.0,E,A*2B\r\"
1543950099045782070,"""$GPRMC,190139.00,A,4150.0824570,N,08737.5791331,W,0.290,279.1,041218,0.0,E,A*20\r\"
1543950100046866620,"""$GPRMC,190140.00,A,4150.0824186,N,08737.5793915,W,1.062,257.1,041218,0.0,E,A*2F\r\"
1543950101036628094,"""$GPRMC,190141.00,A,4150.0823784,N,08737.5798586,W,2.230,276.9,041218,0.0,E,A*2D\r\"
1543950102038698266,"""$GPRMC,190142.00,A,4150.0823903,N,08737.5809204,W,3.298,276.1,041218,0.0,E,A*2E\r\"
1543950103028853345,"""$GPRMC,190143.00,A,4150.0823275,N,08737.5822567,W,4.845,274.5,041218,0.0,E,A*25\r\"
1543950104041900703,"""$GPRMC,190144.00,A,4150.0826642,N,08737.5843640,W,6.497,288.3,041218,0.0,E,A*22\r\"
1543950105037717380,"""$GPRMC,190145.00,A,4150.0833513,N,08737.5865302,W,6.721,300.6,041218,0.0,E,A*2D\r\"
1543950106037517209,"""$GPRMC,190146.00,A,4150.0848685,N,08737.5884566,W,8.049,330.2,041218,0.0,E,A*25\r\"
1543950107029567242,"""$GPRMC,190147.00,A,4150.0874148,N,08737.5896483,W,9.222,349.8,041218,0.0,E,A*2E\r\"
1543950108037679319,"""$GPRMC,190148.00,A,4150.0896163,N,08737.5899116,W,10.852,359.4,041218,0.0,E,A*1A\r\"
1543950109037114027,"""$GPRMC,190149.00,A,4150.0926436,N,08737.5901737,W,10.882,359.9,041218,0.0,E,A*11\r\"
1543950110013494510,"""$GPRMC,190150.00,V,4150.0911202,N,08737.5926263,W,,,041218,0.0,E,N*30\r\n"""
1543950111025627657,"""$GPRMC,190151.00,A,4150.0997053,N,08737.5901535,W,12.125,358.2,041218,0.0,E,A*19\r\"
1543950112020415847,"""$GPRMC,190152.00,A,4150.1031609,N,08737.5901731,W,12.137,359.2,041218,0.0,E,A*13\r\"
1543950113012321106,"""$GPRMC,190153.00,V,4150.1095265,N,08737.5888936,W,,,041218,0.0,E,N*38\r\n"""
1543950114012942874,"""$GPRMC,190154.00,V,4150.1108584,N,08737.5897509,W,,,041218,0.0,E,N*3C\r\n"""
1543950115032288579,"""$GPRMC,190155.00,A,4150.1119964,N,08737.5905640,W,9.363,2.2,041218,0.0,E,A*2C\r\n"""
1543950116021232539,"""$GPRMC,190156.00,A,4150.1156108,N,08737.5901761,W,9.944,0.5,041218,0.0,E,A*2A\r\n"""
1543950117020439163,"""$GPRMC,190157.00,A,4150.1174361,N,08737.5906500,W,9.166,4.6,041218,0.0,E,A*2B\r\n"""
1543950118007768724,"""$GPRMC,190158.00,V,,,,,,,041218,0.0,E,N*1C\r\n"""
1543950119009525707,"""$GPRMC,190159.00,V,4150.1251336,N,08737.5900033,W,,,041218,0.0,E,N*32\r\n"""
1543950120013531414,"""$GPRMC,190200.00,A,4150.1280864,N,08737.5893873,W,11.977,2.2,041218,0.0,E,A*1B\r\n"""
1543950121013432420,"""$GPRMC,190201.00,A,4150.1305710,N,08737.5902562,W,10.175,3.0,041218,0.0,E,A*16\r\n"""
1543950122014072814,"""$GPRMC,190202.00,V,4150.1251654,N,08737.5943964,W,,,041218,0.0,E,N*32\r\n"""
1543950123025511906,"""$GPRMC,190203.00,A,4150.1339900,N,08737.5913285,W,9.350,359.7,041218,0.0,E,A*2C\r\"
1543950124027197034,"""$GPRMC,190204.00,A,4150.1378969,N,08737.5905900,W,8.377,358.6,041218,0.0,E,A*24\r\"
1543950125005275434,"""$GPRMC,190205.00,A,4150.1411289,N,08737.5902080,W,8.398,2.1,041218,0.0,E,A*24\r\n"""
1543950126013653394,"""$GPRMC,190206.00,A,4150.1431622,N,08737.5904566,W,6.838,359.1,041218,0.0,E,A*29\r\"
1543950127015871899,"""$GPRMC,190207.00,A,4150.1452647,N,08737.5906950,W,8.659,358.5,041218,0.0,E,A*27\r\"
1543950128030229334,"""$GPRMC,190208.00,A,4150.1472959,N,08737.5908501,W,8.844,358.7,041218,0.0,E,A*2C\r\"
1543950129025226617,"""$GPRMC,190209.00,A,4150.1490042,N,08737.5912941,W,8.712,358.4,041218,0.0,E,A*2E\r\"
1543950130022570894,"""$GPRMC,190210.00,A,4150.1513783,N,08737.5910665,W,7.246,357.5,041218,0.0,E,A*28\r\"
1543950131034511648,"""$GPRMC,190211.00,A,4150.1527670,N,08737.5914259,W,4.329,344.8,041218,0.0,E,A*28\r\"
1543950132029189117,"""$GPRMC,190212.00,A,4150.1553094,N,08737.5909193,W,7.110,358.0,041218,0.0,E,A*23\r\"
1543950133020860876,"""$GPRMC,190213.00,A,4150.1573173,N,08737.5912040,W,7.628,2.3,041218,0.0,E,A*2E\r\n"""
1543950134034276910,"""$GPRMC,190214.00,A,4150.1594109,N,08737.5913313,W,8.528,359.4,041218,0.0,E,A*2F\r\"
1543950135025237678,"""$GPRMC,190215.00,A,4150.1620271,N,08737.5913598,W,10.190,358.8,041218,0.0,E,A*18\r\"
1543950136034407328,"""$GPRMC,190216.00,A,4150.1641760,N,08737.5917636,W,9.913,0.7,041218,0.0,E,A*20\r\n"""
1543950137021344189,"""$GPRMC,190217.00,A,4150.1675974,N,08737.5913683,W,8.621,0.3,041218,0.0,E,A*2C\r\n"""
1543950138033192990,"""$GPRMC,190218.00,A,4150.1705122,N,08737.5913428,W,9.044,359.5,041218,0.0,E,A*20\r\"
1543950139034432904,"""$GPRMC,190219.00,A,4150.1717231,N,08737.5918103,W,8.774,358.4,041218,0.0,E,A*21\r\"
1543950140037629579,"""$GPRMC,190220.00,A,4150.1743839,N,08737.5919825,W,8.778,359.6,041218,0.0,E,A*2B\r\"
1543950141033100866,"""$GPRMC,190221.00,A,4150.1769787,N,08737.5916807,W,8.874,358.4,041218,0.0,E,A*27\r\"
1543950142024097056,"""$GPRMC,190222.00,A,4150.1796858,N,08737.5916823,W,10.675,0.6,041218,0.0,E,A*15\r\n"""
1543950143037825451,"""$GPRMC,190223.00,A,4150.1821436,N,08737.5920631,W,10.656,358.8,041218,0.0,E,A*1A\r\"
1543950144041323433,"""$GPRMC,190224.00,A,4150.1851701,N,08737.5922802,W,10.430,358.0,041218,0.0,E,A*1B\r\"
1543950145042334408,"""$GPRMC,190225.00,A,4150.1879858,N,08737.5924876,W,10.609,358.7,041218,0.0,E,A*19\r\"
1543950146046092496,"""$GPRMC,190226.00,A,4150.1911727,N,08737.5924369,W,10.782,0.6,041218,0.0,E,A*1A\r\n"""
1543950147028907347,"""$GPRMC,190227.00,V,4150.1893940,N,08737.5947842,W,,,041218,0.0,E,N*3A\r\n"""
1543950148029842824,"""$GPRMC,190228.00,A,4150.1984063,N,08737.5923120,W,11.326,359.8,041218,0.0,E,A*1D\r\"
1543950149113033069,"""$GPRMC,190229.00,A,4150.2000038,N,08737.5926860,W,11.463,357.8,041218,0.0,E,A*14\r\"
1543950150030360037,"""$GPRMC,190230.00,A,4150.2031446,N,08737.5926913,W,11.683,0.0,041218,0.0,E,A*13\r\n"""
1543950151011646618,"""$GPRMC,190231.00,V,4150.2016834,N,08737.5950761,W,,,041218,0.0,E,N*31\r\n"""
1543950152021056079,"""$GPRMC,190232.00,V,4150.2054600,N,08737.5950804,W,,,041218,0.0,E,N*31\r\n"""
1543950153028957654,"""$GPRMC,190233.00,A,4150.2123106,N,08737.5928467,W,10.375,0.2,041218,0.0,E,A*1C\r\n"""
1543950154017710693,"""$GPRMC,190234.00,A,4150.2164482,N,08737.5923569,W,9.693,0.7,041218,0.0,E,A*25\r\n"""
1543950155016936238,"""$GPRMC,190235.00,A,4150.2182487,N,08737.5934909,W,9.837,358.3,041218,0.0,E,A*2F\r\"
